episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/policy_0/cur_kl_coeff,info/learner/policy_0/cur_lr,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/kl,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff
nan,nan,nan,nan,0,6400,False,6400,0,1,c277b270ceb4476aa27b6f476e5659cd,2020-09-12_16-01-31,1599940891,14.100509405136108,14.100509405136108,117557,dream,129.2.189.145,14.100509405136108,6400,1,8,b2665014,0,51000,6400,7581.116,122.355,5960.967,359.643,33.23684210526316,18.810526315789474,0.0,8.946144211844694e-05,0.34052631578947373,0.8060034660739178,0.5,4.999999873689376e-05,10.049134,-6.490168e-05,10.0650625,0.1396576,0.00044661894,1.6085879,0.009999999776482582
nan,nan,nan,nan,0,6400,False,12800,0,2,c277b270ceb4476aa27b6f476e5659cd,2020-09-12_16-01-42,1599940902,11.308988809585571,25.40949821472168,117557,dream,129.2.189.145,25.40949821472168,12800,2,8,b2665014,0,102000,12800,7064.605,85.332,5322.353,182.653,33.593333333333334,18.85333333333334,0.0,8.946144211844696e-05,0.232,0.8126342161775232,0.25,4.999999873689376e-05,8.942669,-0.0003983393,8.958994,0.32486317,0.0005984498,1.6075815,0.009999999776482582
nan,nan,nan,nan,0,6400,False,19200,0,3,c277b270ceb4476aa27b6f476e5659cd,2020-09-12_16-01-55,1599940915,12.59991192817688,38.00941014289856,117557,dream,129.2.189.145,38.00941014289856,19200,3,8,b2665014,0,153000,19200,7015.948,73.221,5415.942,123.445,33.46875,18.856250000000003,0.0,8.946144211844694e-05,0.42,0.8126342161775233,0.125,4.999999873689376e-05,10.342813,-0.0007550238,10.359515,0.35276634,0.0010157817,1.6073834,0.009999999776482582
nan,nan,nan,nan,0,6400,False,25600,0,4,c277b270ceb4476aa27b6f476e5659cd,2020-09-12_16-02-07,1599940927,12.326738595962524,50.336148738861084,117557,dream,129.2.189.145,50.336148738861084,25600,4,8,b2665014,0,204000,25600,6960.735,74.811,5412.694,99.614,32.89411764705883,19.041176470588237,0.0,8.946144211844694e-05,0.3958823529411765,0.8126342161775233,0.0625,4.999999873689376e-05,11.093037,-0.00021575643,11.109249,0.40273625,0.0013457246,1.6081873,0.009999999776482582
nan,nan,nan,nan,0,6400,False,32000,0,5,c277b270ceb4476aa27b6f476e5659cd,2020-09-12_16-02-19,1599940939,12.19331669807434,62.529465436935425,117557,dream,129.2.189.145,62.529465436935425,32000,5,8,b2665014,0,255000,32000,6935.78,69.396,5386.653,80.537,36.1625,18.68125,0.0,8.946144211844694e-05,0.25125,0.8126342161775233,0.03125,4.999999873689376e-05,11.62515,-0.00074683304,11.641926,0.41649243,0.001172336,1.6066433,0.009999999776482582
67.9599999999997,21.1600000000002,29.632968750000373,501.0,64,6400,False,38400,64,6,c277b270ceb4476aa27b6f476e5659cd,2020-09-12_16-02-32,1599940952,12.835277557373047,75.36474299430847,117557,dream,129.2.189.145,75.36474299430847,38400,6,8,b2665014,0,306000,38400,6964.534,65.819,5430.437,67.982,33.45625,18.6,0.0,8.946144211844694e-05,0.40125000000000005,0.8126342161775233,0.015625,4.999999873689376e-05,18.127195,-0.00031208777,18.143534,0.32940957,0.001032526,1.604328,0.009999999776482582
67.9599999999997,21.1600000000002,29.632968750000373,501.0,0,6400,False,44800,64,7,c277b270ceb4476aa27b6f476e5659cd,2020-09-12_16-02-44,1599940964,12.19282054901123,87.5575635433197,117557,dream,129.2.189.145,87.5575635433197,44800,7,8,b2665014,0,357000,44800,6929.738,65.374,5423.31,59.184,32.9875,19.04375,0.0,8.946144211844694e-05,0.369375,0.8126342161775233,0.0078125,4.999999873689376e-05,12.328513,-0.0013630125,12.345923,0.47794664,0.001550964,1.6058224,0.009999999776482582
67.9599999999997,21.1600000000002,29.632968750000373,501.0,0,6400,False,51200,64,8,c277b270ceb4476aa27b6f476e5659cd,2020-09-12_16-02-56,1599940976,12.114015102386475,99.67157864570618,117557,dream,129.2.189.145,99.67157864570618,51200,8,8,b2665014,0,408000,51200,6928.821,65.561,5381.979,52.412,35.6375,18.512500000000003,0.0,8.946144211844694e-05,0.2875,0.8126342161775233,0.00390625,4.999999873689376e-05,12.575866,-0.0004413522,12.592336,0.5043531,0.0013318968,1.6032004,0.009999999776482582
67.9599999999997,21.1600000000002,29.632968750000373,501.0,0,6400,False,57600,64,9,c277b270ceb4476aa27b6f476e5659cd,2020-09-12_16-03-09,1599940989,12.434408187866211,112.10598683357239,117557,dream,129.2.189.145,112.10598683357239,57600,9,8,b2665014,0,459000,57600,6913.899,65.757,5399.778,47.348,30.705882352941178,19.123529411764707,0.0,8.946144211844694e-05,0.43999999999999995,0.8126342161775233,0.001953125,4.999999873689376e-05,12.257952,-0.00043040726,12.274354,0.52064437,0.0011526995,1.5975541,0.009999999776482582
67.9599999999997,21.1600000000002,29.632968750000373,501.0,0,6400,False,64000,64,10,c277b270ceb4476aa27b6f476e5659cd,2020-09-12_16-03-21,1599941001,11.82995891571045,123.93594574928284,117557,dream,129.2.189.145,123.93594574928284,64000,10,8,b2665014,0,510000,64000,6893.915,64.118,5363.298,43.181,37.64,18.726666666666663,0.0,8.946144211844696e-05,0.2066666666666667,0.8126342161775232,0.0009765625,4.999999873689376e-05,12.426871,-0.0010024498,12.443853,0.52013695,0.0018864045,1.5982285,0.009999999776482582
